oxygen,pulse,blood_pressure_systolic,blood_pressure_diastolic
52,41,78,169
87,95,300,66
101,161,199,97
46,300,123,300
0,137,197,94
63,5,114,65
13,175,121,141
63,61,68,200
101,154,305,27
0,65,77,190
88,84,133,38
9,80,51,0
100,146,87,57
21,78,43,300
56,99,200,83
96,305,184,89
52,145,31,91
27,92,121,89
35,123,60,107
83,79,100,13
4,6,169,53
42,61,28,67
100,400,118,146
45,168,123,62
2,195,109,84
87,140,129,87
88,117,28,97
49,37,198,107
6,136,38,111
101,111,43,144
11,6,56,115
14,60,191,108
68,15,98,170
77,31,116,135
100,45,19,183
46,154,190,4
8,25,15,138
101,195,180,4
69,60,97,200
100,51,159,63
68,180,62,99
44,69,94,98
27,97,159,47
43,127,50,181
17,55,200,126
76,109,121,97
56,9,21,181
40,135,136,17
97,154,194,88
61,12,190,174
105,104,55,50
60,97,3,21
12,175,68,154
98,25,45,152
8,114,99,75
60,149,69,88
19,26,21,21
88,161,79,97
20,106,193,52
96,159,103,41
60,22,192,139
59,108,155,56
62,43,100,198
23,32,77,51
2,102,105,89
99,98,160,119
36,181,45,106
65,185,179,29
76,28,55,129
63,18,76,119
60,98,149,68
32,63,172,92
6,64,107,188
58,123,131,62
69,142,80,26
32,31,163,198
28,125,65,96
36,189,148,8
39,103,92,136
92,51,77,134
21,165,1,70
78,61,32,82
33,140,12,112
67,0,74,33
15,146,184,151
65,105,71,71
91,113,14,186
5,16,61,51
74,172,5,100
65,190,18,112
11,133,112,173
58,137,0,52
90,95,63,70
53,105,98,19
0,13,132,133
83,189,166,67
31,106,31,42
65,143,194,120
61,132,128,25
